item_name,item_id,sold_for_gp,bought_for_gp,computed_average_gp,recommended_price_gp,price_basis
Orc Tooth,10196,150,,150,150,sold_for_only
Hellspawn Tail,10304,475,,475,475,sold_for_only
Snake Skin,9694,400,,400,400,sold_for_only
Compass,10302,45,,45,45,sold_for_only
Cultish Mask,9638,280,,280,280,sold_for_only
Cultish Robe,9639,150,,150,150,sold_for_only
Demonic Skeletal Hand,9647,80,,80,80,sold_for_only
Fiery Heart,9636,375,,375,375,sold_for_only
Elvish Talisman,9635,45,,45,45,sold_for_only
Frosty Heart,9661,280,,280,280,sold_for_only
Petrified Scream,10420,250,,250,250,sold_for_only
Mystical Hourglass,9660,700,,700,700,sold_for_only
Metal Spike,10298,320,,320,320,sold_for_only
Lion's Mane,9691,60,,60,60,sold_for_only
Piece of Dead Brain,9663,420,,420,420,sold_for_only
Piece of Scarab Shell,9641,45,,45,45,sold_for_only
Poisonous Slime,9640,50,,50,50,sold_for_only
Polar Bear Paw,9650,30,,30,30,sold_for_only
Vampire Teeth,9685,275,,275,275,sold_for_only
Thick Fur,10307,150,,150,150,sold_for_only
Swamp Grass,9686,20,,20,20,sold_for_only
Strand of Medusa Hair,10309,600,,600,600,sold_for_only
War Crystal,9654,460,,460,460,sold_for_only
Winter Wolf Fur,10295,20,,20,20,sold_for_only
Wyrm Scale,9665,400,,400,400,sold_for_only
Wyvern Talisman,9644,265,,265,265,sold_for_only
Bloody Pincers,9633,100,,100,100,sold_for_only
Cyclops Toe,9657,55,,55,55,sold_for_only
Sabretooth,10311,400,,400,400,sold_for_only
Warmaster's Wristguards,10405,200,,200,200,sold_for_only
Crawler Head Plating,14079,210,,210,210,sold_for_only
Deepling Warts,14012,180,,180,180,sold_for_only
Waspoid Wing,14081,190,,190,190,sold_for_only
Blazing Bone,16131,610,,610,610,sold_for_only
Green Dragon Leather,5877,100,,100,100,sold_for_only
Green Dragon Scale,5920,100,,100,100,sold_for_only
Demon Horn,5954,1000,,1000,1000,sold_for_only
Battle Stone,11447,290,,290,290,sold_for_only
Broken Shamanic Staff,11452,35,,35,35,sold_for_only
Elven Scouting Glass,11464,50,,50,50,sold_for_only
Flask of Embalming Fluid,11466,30,,30,30,sold_for_only
Pile of Grave Earth,11484,25,,25,25,sold_for_only
Protective Charm,11444,60,,60,60,sold_for_only
Rope Belt,11492,66,,66,66,sold_for_only
Brimstone Shell,11703,210,,210,210,sold_for_only
Brimstone Fangs,11702,380,,380,380,sold_for_only
Draken Sulphur,11658,550,,550,550,sold_for_only
Damselfly Wing,17458,20,,20,20,sold_for_only
Piece of Swampling Wood,17823,30,,30,30,sold_for_only
Rorc Feather,18993,70,,70,70,sold_for_only
Elven Hoof,18994,115,,115,115,sold_for_only
Frazzle Skin,20199,400,,400,400,sold_for_only
Silencer Claws,20200,390,,390,390,sold_for_only
Goosebump Leather,20205,650,,650,650,sold_for_only
Slime Heart,21194,160,,160,160,sold_for_only
Moohtant Horn,21200,140,,140,140,sold_for_only
Mooh'tah Shell,21202,110,,110,110,sold_for_only
Seacrest Hair,21801,260,,260,260,sold_for_only
Peacock Feather Fan,21975,350,,350,350,sold_for_only
Gloom Wolf Fur,22007,70,,70,70,sold_for_only
Wereboar Hooves,22053,175,,175,175,sold_for_only
Ogre Nose Ring,22189,210,,210,210,sold_for_only
Some Grimeleech Wings,22730,1200,,1200,1200,sold_for_only
Vexclaw Talon,22728,1100,,1100,1100,sold_for_only
Crystallized Anger,23507,400,,400,400,sold_for_only
Energy Vein,23508,270,,270,270,sold_for_only
Fairy Wings,25694,200,,200,200,sold_for_only
Little Bowl of Myrrh,25702,500,,500,500,sold_for_only
Quill,28567,1100,,1100,1100,sold_for_only
Tarantula Egg,10281,80,,80,80,sold_for_only
Mantassin Tail,11489,280,,280,280,sold_for_only
Gold-Brocaded Cloth,40529,175,,175,175,sold_for_only
